name,phone,website,rating,reviews_count,address,maps_url,place_id,top_review,found_via,likely_noise
Khimji Jewellers,0674 669 7777,https://www.khimjijewellers.com/,4.8,16483,"621, Janpath Rd, Saheed Nagar, Bhubaneswar, Odisha 751007, India",https://maps.google.com/?cid=9180837635068246686,ChIJK206pv4JGToRnrrH2i_jaH8,Staff Sonali Parida really helped us select the right gold jewellery based on our requirements. I would really appreciate the 50% discount offered to us on making charges. It was a limited time deal t,bitcoin shop Bhubaneswar,
Indian Institute of Technology Kanpur,0512 259 0151,http://www.iitk.ac.in/,4.7,2419,"G66M+W8P, Kalyanpur, Kanpur, Uttar Pradesh 208016, India",https://maps.google.com/?cid=4250246312689370166,ChIJcb6oxAE3nDkRNoTDq4Do-zo,"visited IIT Kanpur during an inter-cultural event, where I had the chance to perform on the event ground.
It’s truly one of the finest colleges in Kanpur — not just for its reputation, but for the atm",buy bitcoin Kanpur,YES
Epari Sadashiv Jewellers,0674 253 0737,https://eparisadashiv.com/,4.8,2103,"Infront Of Gurudwara, C/653, Janpath Rd, Unit 3, Kharvela Nagar, Bhubaneswar, Odisha 751001, India",https://maps.google.com/?cid=3278780850463504190,ChIJ_Y90e1GnGToRPvc60M-RgC0,"Fabulous showroom, very helpful staff and beautiful design ornaments at competative price. My family use to buy gold from this shop from last 10years and above. I have few items older than 10 years bu",bitcoin shop Bhubaneswar,
Bimal Institute,088894 22237,https://bimalinstitute.com/,4.9,1946,"G-1, Ground Floor, Plot no. 17, near Silvotel Hotel, Vijay Nagar, Scheme 54 PU4, Indore, Madhya Pradesh 452002, India",https://maps.google.com/?cid=5862637902168874425,ChIJWWv5QSr9YjkRuV2ERRxGXFE,"•Professional & Trustworthy
One of the best trading institutes I’ve come across. The mentors explain concepts very clearly, from basics to advanced strategies. Live market sessions and proper risk man",bitcoin seller Indore,YES
"Trade Max Academy | Stock Market Trading Courses in Kochi, Kerala",098958 22500,https://www.trademaxacademy.com/,4.9,1469,"Samskara Junction, Palarivattom, Kochi, Kerala 682025, India",https://maps.google.com/?cid=15946099976547588523,ChIJQ394LgANCDsRq9n7TnHtS90,"One of the best options for studying trading is Trademax Academy. All the mentors and monitors are very friendly and caring, and they clear every doubt patiently before moving to the next topic. The t",buy bitcoin Kochi,YES
Udapure Jewellers,070587 77223,http://www.udapurejewellers.com/,4.9,1289,"Shaniwari, Imamwada Rd, Cotton Market, Ganeshpeth Colony, Nagpur, Maharashtra 440018, India",https://maps.google.com/?cid=12004987750613220271,ChIJBTTCCMjB1DsRr3s3CMFImqY,"I have been purchasing gold from Udapure Jewellers, Nagpur from the last five years, and I have never faced any quality issues. The gold quality is excellent, and my family members also love their des",bitcoin shop Nagpur,
Patna Share Trading Academy,070335 15817,http://patnasharetrading.com/,5,989,"Road.2, Vikash Colny, Road, Alka Colony, Sandalpur, Patna, Bihar 800006, India",https://maps.google.com/?cid=11112565414036145427,ChIJo9KmHLVY7TkRE4Xq_l3DN5o,"I joined in this academy offline classes in morning batch, here best education for stock market is providing from advance level courses.  I learned here candle stick pattern, fundamental analysis and ",bitcoin seller Patna,YES
The Trading Institute,091092 75374,http://www.thetradinginstitute.in/,4.9,817,"Office G-8-9, Apollo, apollo trade centre, Gita Bhawan Rd, Trade Centre, Rajgarh Kothi, Manorama Ganj, Indore, Madhya Pradesh 452001, India",https://maps.google.com/?cid=5738059546549701689,ChIJ8frOo4n9YjkROUwijMGuoU8,"I had a great learning experience at The Trading Institute (TTI), Indore. The faculty explains share market concepts in a very simple and practical way. The course structure is well organized and help",cryptocurrency exchange Indore,YES
Aapka Investments - Stock Market Courses l Technical Analysis Courses l Stock Market Trading Course l Options Trading Course,084609 09037,https://aapkainvestments.in/,4.9,679,"B-910,911, Ratnaker Nine Square, Keshavbaug Party Plot, opp. Itc Narmada, Suryapooja Block B, Vastrapur, Ahmedabad, Gujarat 380015, India",https://maps.google.com/?cid=6786220924273578520,ChIJt4-GyS-FXjkRGFKmxvl_LV4,So I am talking about their premium group where they provide calls so I highly recommend don't buy them it's not good they say they give one call and it's 100% accurate and I only have loses and no pr,buy bitcoin Ahmedabad,YES
Advait Share Market Academy | Stock Market Trading Training Institute,091569 53895,https://www.advaitsharemarketacademy.in/,5,650,"Plot 28, Oshian SuperCity 3, 6, Besa-Pipla Rd, opposite to Atharva Nagri, Atharva Nagri 2, Manewada, Besa Pipla, Maharashtra 440034, India",https://maps.google.com/?cid=15751762316342226121,ChIJPyA5sKq_1DsRyWz2y16Amdo,"This academy completely changed the way I look at the market. The trading strategies and price action concepts are explained in a very simple way. Earlier I had zero clarity, but now with proper money",bitcoin seller Nagpur,YES
Binoy Kumar Ghosh - Best Share Market Trading Teacher in Kolkata | Share Market Training Institute,098753 13177,,4.9,603,"33/2H, Raja Nabakrishna St, Raja Nabakrishna Street, Sovabazar, Kolkata, West Bengal 700005, India",https://maps.google.com/?cid=11270786756437138015,ChIJxf408Fx3AjoRX9qc_NbgaZw,"BG consultancy And Mr. Binoy Ghosh, as a head of the consultancy is great due to penetration each & every point of the shear trading. The following points I learned from this institution
1. Fundamenta",sell bitcoin Kolkata,YES
"NIFM Ahmedabad - Stock & Share Market, Technical, Fundamental, option Trading Course Training Institute with Algo Trading",092652 82922,https://www.nifm.in/branch/ranip-ahmedabad-gujarat-stock-market-trading-courses-training-institute,4.8,571,"Business Hub, Arved Transcube Plaza, GSRTC Bus Stand, 804, RTO Cir, Bandhu Nagar, Vijay Nagar, Ranip, Ahmedabad, Gujarat 382480, India",https://maps.google.com/?cid=11060234643764645332,ChIJz-WVYbWDXjkR1I0PEs_YfZk,"Great place to start your stock market journey. The teaching is simple, practical, and confidence-building. If you’re serious about learning trading the right way, this academy can truly change your d",bitcoin seller Ahmedabad,YES
Sathe Jewellers,0712 253 5731,http://www.sathejewellers.com/,4.4,540,"232, W High Ct Rd, Dharampeth, Nagpur, Maharashtra 440010, India",https://maps.google.com/?cid=9260987837582209554,ChIJR1_4Ml7A1DsREvJMGF-jhYA,"Staff is very helpful but the person who is sitting on the counter, judges the customers according to their purchasing amount. If u go there to buy gold or diamond he will help you and ask staff to do",bitcoin shop Nagpur,
Waman Hari Pethe Jewellers,1800 22 2225,http://www.whpjewellers.com/,4.1,510,"Upper Ground Floor, Leela Vista, W High Ct Rd, Bajaj Nagar, Nagpur, Maharashtra 440010, India",https://maps.google.com/?cid=7960645845258267408,ChIJcQW-EX3A1DsREOtODTjleW4,"I saw their designs and collections on the website and visited the shop with high expectations, but I ended up disappointed. The staff wasn't interested in listening to my requirements. They expected ",bitcoin shop Nagpur,
"NIWS - Best Stock Market Institute in Jaipur, Rajasthan",092616 23456,https://niws.in/branch/stock-market-course-in-jaipur,4.9,455,"508, 5th Floor, Jaipur Electronic Market, Riddhi Siddhi, Gopalpura Bypass Rd, Mohan Nagar, Triveni Nagar, Arjun Nagar, Jaipur, Rajasthan 302018, India",https://maps.google.com/?cid=18390724870197100779,ChIJbQ-Ly8K1bTkR60AKytT6OP8,"NIWS is one of the best stock market institutes in Jaipur. The teaching methodology is very practical and easy to understand, even for beginners. Trainers focus on live market practice, risk managemen",buy bitcoin Jaipur,YES
NANDI ACADEMY (SHARE MARKET TRAINING INSTITUTE PATNA),,,4.9,455,"Main Gate, near Canara Bank, Bazar Samiti, Bahadurpur, Patna, Bihar 800006, India",https://maps.google.com/?cid=16381685933373054695,ChIJtRAVN6RZ7TkR5962AJBwV-M,"First of all, respected Ganesh Dhari Sir is very polite, knowledgeable and more than 21 year's experience and always thought with joy, management team also superb, and cooperative...",buy bitcoin Patna,YES
The Wise Bucks (Stock Share Market Training Institute Chandigarh),096596 52040,https://thewisebucks.com/,5,442,"SCO 28, Sector 33-D, above PNB Bank ATM, 33D, Sector 33, Chandigarh, 160033, India",https://maps.google.com/?cid=4117564988920069445,ChIJRyLWOlztDzkRRX0qqIqHJDk,"Wise Bucks in Chandigarh has been a fantastic place to learn stock trading. The way Mr. Mayank and Mr. Mukul explain market concepts is clear, practical, and very easy to understand, even for beginner",sell bitcoin Chandigarh,YES
SMTI - Stock Market Training Institute Zirakpur,099888 13993,https://www.smtiindia.com/,5,406,"JAIPURIA SUNRISE GREENS, D-001, VIP Rd, Zirakpur, Chandigarh, Punjab 140603, India",https://maps.google.com/?cid=5224833814867170814,ChIJSamD4BPtDzkR_lWbGaxWgkg,"If you are serious about mastering the markets, look no further. This institute(SMTI)provides a world-class learning environment that bridges the gap between theory and the live trading floor.
Unmatch",crypto trader Chandigarh,YES
Paschim Trading Institute,090195 30309,https://paschimtradinginstitute.in/,5,379,"151/1, 1st floor, 24th Main Rd, next to Thirumala Theatre, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",https://maps.google.com/?cid=7277954978692959516,ChIJv_sOfP0UrjsRHI1HLH59AGU,"Recently completed the stock market course instructed by Jayanth, and I must say it exceeded my expectations. Jayanth's expertise and ability to break down complex concepts into easily digestible bits",bitcoin seller Bangalore,YES
MeTta Share Market Training Institute.,098348 88821,http://www.mettasharemarket.in/,4.9,355,"Flat No 101, Aqua Habitat Lohar samaj, Beltarodi Rd, near Prabhat Hardware, Shatabdi Square, Omkar Nagar, Nagpur, Maharashtra 440027, India",https://maps.google.com/?cid=18243216629461316191,ChIJP_Q09lq_1DsRX3KKJ97sLP0,"I would like to take a moment to wholeheartedly appreciate the Meta Share Market Class and the incredible learning experience it provided. I am extremely impressed with the structure, content, and the",bitcoin seller Nagpur,YES
CONTANGO TRAINING & RESEARCH ACADEMY | STOCK MARKET TRADING EDUCATION,063791 69369,https://contangoacademy.com/,4.7,349,"8, Rangarajulu St, Ayyavoo Colony, Aminjikarai, Chennai, Tamil Nadu 600030, India",https://maps.google.com/?cid=4569188665667797783,ChIJsdEuYZtmUjoRF8PeAOIEaT8,"🌟 Workshop Feedback: Beginner's Bootcamp (Dec 6, 2025)
​I am delighted to provide feedback on the 3-hour Beginner's Bootcamp attended today, December 6, 2025.
​Organization and Hospitality
​I arrived ",crypto cash Chennai,YES
