name,phone,website,rating,reviews_count,address,maps_url,place_id,top_review,found_via,likely_noise
Aashima Mall,,,4,26415,"Narmadapuram Rd, Danish Nagar, Bawaria Kalan, Bhopal, Madhya Pradesh 462026, India",https://maps.google.com/?cid=1337310813086568225,ChIJOyJSHmNDfDkRIU9QYBkVjxI,"Aashima Mall is a nice place in Bhopal for shopping, movies, and spending quality time with family or friends. The mall has a good mix of clothing stores, daily-use outlets, and a decent food court wi",buy bitcoin Bhopal,
Bismi Connect,,https://www.bismiconnectstores.in/bismi-connect-electronics-retail-vyttila-ernakulam-352804/Home,4,4097,"No 49/344B, Beeva Towers, Vyttila, Ernakulam, Kochi, Kerala 682019, India",https://maps.google.com/?cid=9669074871172480135,ChIJQZ8saSpzCDsRhzzkyl10L4Y,"Whatever electronic equipment you buy from Ajmal Bismi Vyttila, it would be better for you to find a technician from outside to service it. Don't expect anyone from the shop to do the service. Because",bitcoin shop Kochi,
TRADE ACHIEVERS,098843 42395,https://www.tradeachievers.com/,4.7,3431,"No 2/69, 3rd floor, Poonamallee High Rd, SVP Nagar, Janakiraman Colony, Arumbakkam, Chennai, Tamil Nadu 600106, India",https://maps.google.com/?cid=17399021960448193223,ChIJT0tBxxVnUjoRxzK8_0m-dfE,"I recently completed the Price Action Trading training with Trade Achievers, and it has been a truly transformative experience for my trading journey. Before enrolling, I was actively trading F&O with",crypto cash Chennai,
CapitalVia Global Research Limited,080859 99333,https://www.capitalvia.com/,3.9,1855,"903, B-1 9th Floor, Mangal City Service Rd, Scheme 54 PU4, Indore, Madhya Pradesh 452010, India",https://maps.google.com/?cid=10513414658218488963,ChIJPQ3rVQ4DYzkRg3R_3-0m55E,"In my personal experience, Capital Via is one of the biggest scams I have encountered. I lost more than six lakh rupees with them in 2018. They approach investors with attractive but unrealistic promi",bitcoin seller Indore,
"Chhatrapati Shahu Ji Maharaj University, Kanpur",,http://projectwala12.xyz/,4.1,1393,"CSJMIF, CSJMU, Kanpur University, Kanpur, Uttar Pradesh 208024, India",https://maps.google.com/?cid=13864060155352100514,ChIJDZwvUuo3nDkRoq5ooEEJZ8A,"CSJMU offers a spacious, resource-rich environment and diverse academic offerings at affordable costs. While professional courses like BBA, BCA, and Journalism show stronger placement outcomes, the en",buy bitcoin Kanpur,
Supremo Traders,,https://grygurukul.com/,4.9,1345,"Vyasa House”, Sr No:23 Near 19 Grand West Society Aditya Birla Hospital Road, Dange Chowk Rd, Thergaon, Pimpri-Chinchwad, Maharashtra 411033, Shrikrushna Colony, Thergaon, Pune, Pimpri-Chinchwad, Maharashtra 411027, India",https://maps.google.com/?cid=15744339099790135654,ChIJq6qbssa4wjsRZtFIgv4gf9o,Supremo Trading Class truly exceeded my expectations. Atul Sir explained every concept so clearly ki basics pan properly samjle ani trading samjun ghyaychi interest wadli. His real world experience an,crypto trader Pune,
Xtreme Gaming Lounge PC & PS5,088282 26688,https://instagram.com/xtremegamingzone?utm_source=ig_profile_share&igshid=sb2sec4e0njs,4.9,1099,"Plot number 14, Bhagat Kanwarram Rd, behind Ganesh Bakery, Kopri, Thane East, Thane, Maharashtra 400603, India",https://maps.google.com/?cid=4169655006410733011,ChIJqU2HNN645zsR03UK9SKX3Tk,Great spot to hangout with frnds. The staff is super frndly.,buy bitcoin Thane,
V TRADERS,099958 83889,https://cameravtraders.in/,4.1,1079,"66/3834 Doraiswamy Iyer Road, Mahatma Gandhi Rd, Shenoys, Ernakulam, Kochi, Kerala 682035, India",https://maps.google.com/?cid=13741829802661198079,ChIJ9YaBb04NCDsR_zh_72XJtL4,"Extremely slow response to enquiries. I initially messaged them on Instagram and received no reply. I then tried WhatsApp, but the experience was no different. As my requirement was urgent, I finally ",bitcoin shop Kochi,
24karat we buy gold Faridabad- Get cash for your gold,098611 98611,https://www.24karat.co.in/,4.9,1021,"Shop No-2 , 1E/22,B.P, 1 Market, Near, Block E, Tikona Park, New Industrial Township, Faridabad, Haryana 121001, India",https://maps.google.com/?cid=5853493719898356294,ChIJ02xAAxPdDDkRRnqFbYbJO1E,"It my first time visit at 24 karat store in fbd. Very good experience at store, staff was very cooperative specially Mrs. Ashu who tackled my case. I personally recommend at all who need urgent cash o",crypto cash Faridabad,
EnrichWise Financial Services Pvt Ltd,084337 22854,https://www.enrichwise.com/,4.9,974,"5th Floor, Bellona building, The Walk, Hiranandani Estate, Thane West, Thane, Maharashtra 400607, India",https://maps.google.com/?cid=6798307020726855811,ChIJr-h66-275zsRg-h3ZDdwWF4,"I had a wonderful experience with EnrichWise Financial Services Pvt Ltd, especially thanks to Mr.Satyaprakash & Mr.Bhavik ,their dedicated team. Their commitment to clients shines through in every ste",buy bitcoin Thane,
